experiment,accuracy,top-5 accuracy,loss,parameters
01_basic,0.54666668176651,0.7511428594589233,2.6905839443206787,7564621
02_rescaling,0.5147619247436523,0.7352380752563477,2.3756275177001953,7564621
03_added_width,0.541523814201355,0.7547619342803955,2.2785701751708984,17082509
04_added_depth,0.4952380955219269,0.7201904654502869,2.6864266395568848,7712205
05_fc_dense,0.4894285798072815,0.7164762020111084,2.580768346786499,4324941
06_dropout,0.5874285697937012,0.7862856984138489,2.074760675430298,4324941
07_residual,0.7028571367263794,0.8715237975120544,1.3980411291122437,1222797
08_residual_max,0.5674285888671875,0.7706666588783264,2.052384376525879,4434317
09_residual_depth,0.5610476136207581,0.7726666927337646,2.0911245346069336,5218157
10_augmented,0.6988571286201477,0.8711428642272949,1.3994451761245728,1222797
11_vgg16,0.0019047618843615055,0.008666666224598885,6.263399600982666,14984013
12_vgg16_fe,0.8543809652328491,0.9616190195083618,1.0306142568588257,14984013
13_vgg16_ft_fl,0.8794285655021667,0.9710476398468018,0.7835229635238647,14984013
14_vgg16_ft_fb,0.885523796081543,0.9713333249092102,0.7005271911621094,14984013
15_vgg16_ft_full,0.8841904997825623,0.9715238213539124,0.5398092269897461,14984013
16_resnet50,0.7455238103866577,0.8987619280815125,1.1190831661224365,24663437
17_resnet50_fe,0.8939999938011169,0.9740952253341675,0.5393259525299072,24663437
18_resnet50_ft_fl,0.8949523568153381,0.9746666550636292,0.5320456624031067,24663437
19_resnet50_ft_fb,0.8951428532600403,0.9745714068412781,0.531855583190918,24663437
20_resnet50_ft_full,0.907619059085846,0.9793333411216736,0.3890751600265503,24663437
21_inceptionv3,0.5894285440444946,0.8046666383743286,1.866687536239624,22878509
22_inceptionv3_fe,0.8342857360839844,0.94647616147995,0.7464664578437805,22878509
23_inceptionv3_ft_fl,0.8387619256973267,0.9480952620506287,0.7691740393638611,22878509
24_inceptionv3_ft_fb,0.8456190228462219,0.9520000219345093,0.7115381360054016,22878509
25_inceptionv3_ft_full,0.8515238165855408,0.952571451663971,0.7561053037643433,22878509
26_xception,0.8169524073600769,0.9338095188140869,1.0017958879470825,21937205
27_xception_fe,0.8784762024879456,0.9650475978851318,0.5776596069335938,21937205
28_xception_ft_fl,0.8948571681976318,0.9701904654502869,0.5603259205818176,21937205
29_xception_ft_fb,0.8930476307868958,0.9677143096923828,0.5823207497596741,21937205
30_xception_ft_full,0.8983809351921082,0.972095251083374,0.6024638414382935,21937205
31_mobilenet,0.8206666707992554,0.9369523525238037,0.7882147431373596,3766989
32_mobilenet_fe,0.9074285626411438,0.9764761924743652,0.4428284466266632,3766989
33_mobilenet_ft_fl,0.9146666526794434,0.9778095483779907,0.4123620390892029,3766989
34_mobilenet_ft_fb,0.9141904711723328,0.9798095226287842,0.4637197256088257,3766989
35_mobilenet_ft_full,0.9120952486991882,0.978857159614563,0.46502700448036194,3766989
36_densenet121,0.7859047651290894,0.9207618832588196,0.9350038766860962,7575629
37_densenet121_fe,0.8594285845756531,0.9611428380012512,0.6340674161911011,7575629
38_densenet121_ft_fl,0.8848571181297302,0.9671428799629211,0.5401349067687988,7575629
39_densenet121_ft_fb,0.8766666650772095,0.9650475978851318,0.6422602534294128,7575629
40_densenet121_ft_full,0.8743809461593628,0.9627618789672852,0.6100532412528992,7575629
41_efficientnetb0,0.8496190309524536,0.9483809471130371,0.7035044431686401,6591837
42_efficientnetb0_fe,0.9486666917800903,0.9886666536331177,0.2524991035461426,6591837
43_efficientnetb0_ft_fl,0.9484761953353882,0.988095223903656,0.27755579352378845,6591837
44_efficientnetb0_ft_fb,0.9528571367263794,0.9888571500778198,0.2580755352973938,6591837
45_efficientnetb0_ft_full,0.9484761953353882,0.987333357334137,0.26917269825935364,6591837
